clip_name,start_time,end_time,task
episode_000.mp4,1.057,10.744,pick red cube and put in red square
episode_000.mp4,13.541,24.559,pick brown cube and put in yellow square
episode_000.mp4,27.014,35.405,pick orange cube and put in orange square
episode_001.mp4,1.637,11.836,pick dark-blue cube and put in dark-blue square
episode_001.mp4,13.985,24.934,pick light-blue cube and put in green square
episode_002.mp4,2.763,14.121,pick brown cube and put in yellow square
episode_002.mp4,15.861,25.309,pick red cube and put in red square
episode_003.mp4,0.886,15.779,pick orange cube and put in orange square
episode_003.mp4,17.722,38.579,pick brown cube and put in yellow square
episode_004.mp4,1.023,12.586,pick red cube and put in red square
episode_004.mp4,14.121,28.481,pick light-blue cube and put in green square
episode_005.mp4,1.806,17.142,pick dark-blue cube and put in dark-blue square
episode_005.mp4,19.221,29.957,pick light-blue cube and put in green square
episode_006.mp4,1.535,14.769,pick red cube and put in red square
episode_006.mp4,15.724,27.321,pick orange cube and put in orange square
episode_007.mp4,0.648,12.655,pick red cube and put in red square
episode_007.mp4,13.234,30.153,pick brown cube and put in yellow square
episode_008.mp4,19.340,38.850,pick dark-blue cube and put in dark-blue square
episode_009.mp4,1.568,12.848,pick orange cube and put in orange square
episode_009.mp4,14.177,30.638,pick red cube and put in red square
episode_010.mp4,1.738,16.427,pick dark-blue cube and put in dark-blue square
episode_011.mp4,3.138,17.839,pick orange cube and put in orange square
episode_011.mp4,20.909,33.529,pick brown cube and put in yellow square
episode_012.mp4,2.045,14.791,pick dark-blue cube and put in dark-blue square
episode_012.mp4,17.892,34.489,pick red cube and put in red square
episode_013.mp4,2.695,18.351,pick brown cube and put in yellow square
episode_013.mp4,20.773,33.973,pick light-blue cube and put in green square
episode_014.mp4,5.896,18.540,pick red cube and put in red square
episode_014.mp4,21.437,33.331,pick dark-blue cube and put in dark-blue square
episode_015.mp4,1.261,14.314,pick brown cube and put in yellow square
episode_015.mp4,16.052,28.423,pick dark-blue cube and put in dark-blue square
episode_015.mp4,29.548,39.363,pick light-blue cube and put in green square
episode_016.mp4,0.136,13.507,pick red cube and put in red square
episode_016.mp4,14.292,27.731,pick orange cube and put in orange square
